HGNC ID	Approved symbol	Approved name
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9
HGNC:24278	ABHD17B	abhydrolase domain containing 17B
HGNC:26925	ABHD17C	abhydrolase domain containing 17C
HGNC:26111	ABHD18	abhydrolase domain containing 18
HGNC:11320	ABI1	abl interactor 1
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1
HGNC:24011	ABI2	abl interactor 2
HGNC:29859	ABI3	ABI family member 3
HGNC:17265	ABI3BP	ABI family member 3 binding protein
HGNC:1364	ABITRAM	actin binding transcription modulator
HGNC:39851	ABITRAMP1	ABITRAM pseudogene 1
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase
HGNC:78	ABLIM1	actin binding LIM protein 1
HGNC:19195	ABLIM2	actin binding LIM protein family member 2
HGNC:29132	ABLIM3	actin binding LIM protein family member 3
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase
HGNC:81	ABR	ABR activator of RhoGEF and GTPase
HGNC:30655	ABRA	actin binding Rho activating protein
HGNC:21230	ABRACL	ABRA C-terminal like
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit
HGNC:17369	ABT1	activator of basal transcription 1
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2
HGNC:84	ACACA	acetyl-CoA carboxylase alpha
HGNC:85	ACACB	acetyl-CoA carboxylase beta
HGNC:86	ACAD~withdrawn	entry withdrawn
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain
HGNC:319	ACAN	aggrecan
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor
HGNC:2707	ACE	angiotensin I converting enzyme
HGNC:13557	ACE2	angiotensin I converting enzyme 2
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene
HGNC:18356	ACER1	alkaline ceramidase 1
HGNC:23675	ACER2	alkaline ceramidase 2
HGNC:16066	ACER3	alkaline ceramidase 3
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)
HGNC:1565	ACKR2	atypical chemokine receptor 2
HGNC:23692	ACKR3	atypical chemokine receptor 3
HGNC:1611	ACKR4	atypical chemokine receptor 4
HGNC:114	ACLS	acrocallosal syndrome
HGNC:115	ACLY	ATP citrate lyase
HGNC:116	ACMG~withdrawn	entry withdrawn
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene
HGNC:117	ACO1	aconitase 1
HGNC:118	ACO2	aconitase 2
HGNC:33904	ACOD1	aconitate decarboxylase 1
HGNC:33128	ACOT1	acyl-CoA thioesterase 1
HGNC:18431	ACOT2	acyl-CoA thioesterase 2
HGNC:19748	ACOT4	acyl-CoA thioesterase 4
HGNC:33159	ACOT6	acyl-CoA thioesterase 6
HGNC:24157	ACOT7	acyl-CoA thioesterase 7
HGNC:15919	ACOT8	acyl-CoA thioesterase 8
HGNC:17152	ACOT9	acyl-CoA thioesterase 9
HGNC:18156	ACOT11	acyl-CoA thioesterase 11
HGNC:24436	ACOT12	acyl-CoA thioesterase 12
HGNC:20999	ACOT13	acyl-CoA thioesterase 13
HGNC:119	ACOX1	acyl-CoA oxidase 1
HGNC:120	ACOX2	acyl-CoA oxidase 2
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl
HGNC:25621	ACOXL	acyl-CoA oxidase like
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1
HGNC:122	ACP1	acid phosphatase 1
HGNC:123	ACP2	acid phosphatase 2, lysosomal
HGNC:14376	ACP4	acid phosphatase 4
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)
HGNC:125	ACPP	acid phosphatase, prostate
HGNC:126	ACR	acrosin
HGNC:17195	ACRBP	acrosin binding protein
HGNC:127	ACRV1	acrosomal vesicle protein 1
HGNC:128	ACS3~withdrawn	symbol withdrawn, see TWIST1
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3
HGNC:129	ACTA1	actin alpha 1, skeletal muscle
HGNC:130	ACTA2	actin alpha 2, smooth muscle
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1
HGNC:131	ACTA3~withdrawn	symbol withdrawn, see ACTG2
HGNC:132	ACTB	actin beta
HGNC:17780	ACTBL2	actin beta like 2
HGNC:134	ACTBP1	ACTB pseudogene 1
HGNC:135	ACTBP2	ACTB pseudogene 2
HGNC:136	ACTBP3	ACTB pseudogene 3
HGNC:137	ACTBP4	ACTB pseudogene 4
HGNC:138	ACTBP5~withdrawn	entry withdrawn
HGNC:139	ACTBP6	ACTB pseudogene 6
HGNC:140	ACTBP7	ACTB pseudogene 7
HGNC:141	ACTBP8	ACTB pseudogene 8
HGNC:142	ACTBP9	ACTB pseudogene 9
HGNC:31819	ACTBP10	ACTB pseudogene 10
HGNC:33971	ACTBP11	ACTB pseudogene 11
HGNC:150	ACTBP12	ACTB pseudogene 12
HGNC:44626	ACTBP13	ACTB pseudogene 13
HGNC:45086	ACTBP14	ACTB pseudogene 14
HGNC:143	ACTC1	actin alpha cardiac muscle 1
HGNC:144	ACTG1	actin gamma 1
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7
HGNC:153	ACTG1P8	actin gamma 1 pseudogene 8
HGNC:154	ACTG1P9	actin gamma 1 pseudogene 9
HGNC:155	ACTG1P10	actin gamma 1 pseudogene 10
HGNC:37651	ACTG1P11	actin gamma 1 pseudogene 11
HGNC:44496	ACTG1P12	actin gamma 1 pseudogene 12
HGNC:49058	ACTG1P13	actin gamma 1 pseudogene 13
HGNC:49751	ACTG1P14	actin gamma 1 pseudogene 14
HGNC:51495	ACTG1P15	actin gamma 1 pseudogene 15
HGNC:51496	ACTG1P16	actin gamma 1 pseudogene 16
HGNC:51497	ACTG1P17	actin gamma 1 pseudogene 17
HGNC:51498	ACTG1P18	actin gamma 1 pseudogene 18
HGNC:51499	ACTG1P19	actin gamma 1 pseudogene 19
HGNC:51500	ACTG1P20	actin gamma 1 pseudogene 20
HGNC:51501	ACTG1P21	actin gamma 1 pseudogene 21
HGNC:51502	ACTG1P22	actin gamma 1 pseudogene 22
HGNC:51503	ACTG1P23	actin gamma 1 pseudogene 23
HGNC:49661	ACTG1P24	actin gamma 1 pseudogene 24
HGNC:145	ACTG2	actin gamma 2, smooth muscle
HGNC:156	ACTL2~withdrawn	symbol withdrawn, see ACTG1P2
HGNC:157	ACTL3~withdrawn	symbol withdrawn, see ACTG2
HGNC:158	ACTL4~withdrawn	entry withdrawn
HGNC:159	ACTL5~withdrawn	entry withdrawn
HGNC:24124	ACTL6A	actin like 6A
HGNC:160	ACTL6B	actin like 6B
HGNC:161	ACTL7A	actin like 7A
HGNC:162	ACTL7B	actin like 7B
HGNC:24018	ACTL8	actin like 8
HGNC:28494	ACTL9	actin like 9
HGNC:16127	ACTL10	actin like 10
HGNC:163	ACTN1	actinin alpha 1
HGNC:20131	ACTN1-AS1	ACTN1 antisense RNA 1
HGNC:164	ACTN2	actinin alpha 2
HGNC:165	ACTN3	actinin alpha 3 (gene/pseudogene)
HGNC:166	ACTN4	actinin alpha 4
HGNC:44028	ACTN4P1	actinin alpha 4 pseudogene 1
HGNC:44032	ACTN4P2	actinin alpha 4 pseudogene 2
HGNC:51621	ACTP1	actin family pseudogene 1
HGNC:167	ACTR1A	actin related protein 1A
HGNC:168	ACTR1B	actin related protein 1B
HGNC:169	ACTR2	actin related protein 2
HGNC:170	ACTR3	actin related protein 3
HGNC:53965	ACTR3-AS1	ACTR3 antisense RNA 1
HGNC:17256	ACTR3B	actin related protein 3B
HGNC:37724	ACTR3BP1	ACTR3B pseudogene 1
HGNC:38677	ACTR3BP2	ACTR3B pseudogene 2
HGNC:38678	ACTR3BP3	ACTR3B pseudogene 3
HGNC:38681	ACTR3BP4	ACTR3B pseudogene 4
HGNC:38682	ACTR3BP5	ACTR3B pseudogene 5
HGNC:38683	ACTR3BP6	ACTR3B pseudogene 6
HGNC:37282	ACTR3C	actin related protein 3C
HGNC:31820	ACTR3P1	ACTR3 pseudogene 1
HGNC:38676	ACTR3P2	ACTR3 pseudogene 2
HGNC:38679	ACTR3P3	ACTR3 pseudogene 3
HGNC:14671	ACTR5	actin related protein 5
HGNC:24025	ACTR6	actin related protein 6
HGNC:44210	ACTR6P1	ACTR6 pseudogene 1
HGNC:14672	ACTR8	actin related protein 8
HGNC:17372	ACTR10	actin related protein 10
HGNC:24027	ACTRT1	actin related protein T1
HGNC:24026	ACTRT2	actin related protein T2
HGNC:24022	ACTRT3	actin related protein T3
HGNC:171	ACVR1	activin A receptor type 1
HGNC:172	ACVR1B	activin A receptor type 1B
HGNC:18123	ACVR1C	activin A receptor type 1C
HGNC:173	ACVR2A	activin A receptor type 2A
HGNC:174	ACVR2B	activin A receptor type 2B
HGNC:44161	ACVR2B-AS1	ACVR2B antisense RNA 1
HGNC:175	ACVRL1	activin A receptor like type 1
HGNC:176	ACVRLK2~withdrawn	symbol withdrawn, see ACVR1
HGNC:177	ACY1	aminoacylase 1
HGNC:178	ACY1L~withdrawn	symbol withdrawn, see CCDC102B
HGNC:24104	ACY3	aminoacylase 3
HGNC:179	ACYP1	acylphosphatase 1
HGNC:180	ACYP2	acylphosphatase 2
HGNC:181	AD1~withdrawn	symbol withdrawn, see APP
HGNC:182	AD2~withdrawn	symbol withdrawn, see APOE
HGNC:183	AD3~withdrawn	symbol withdrawn, see PSEN1
HGNC:184	AD4~withdrawn	symbol withdrawn, see PSEN2
HGNC:185	AD5	Alzheimer disease 5
HGNC:186	ADA	adenosine deaminase
HGNC:1839	ADA2	adenosine deaminase 2
HGNC:30713	ADAD1	adenosine deaminase domain containing 1
HGNC:44550	ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1
HGNC:44552	ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2
HGNC:30714	ADAD2	adenosine deaminase domain containing 2
HGNC:31853	ADAL	adenosine deaminase like
HGNC:187	ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)
HGNC:44366	ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)
HGNC:198	ADAM2	ADAM metallopeptidase domain 2
HGNC:209	ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)
HGNC:210	ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)
HGNC:212	ADAM5	ADAM metallopeptidase domain 5 (pseudogene)
HGNC:213	ADAM6	ADAM metallopeptidase domain 6 (pseudogene)
HGNC:214	ADAM7	ADAM metallopeptidase domain 7
HGNC:215	ADAM8	ADAM metallopeptidase domain 8
HGNC:216	ADAM9	ADAM metallopeptidase domain 9
HGNC:188	ADAM10	ADAM metallopeptidase domain 10
HGNC:189	ADAM11	ADAM metallopeptidase domain 11
HGNC:190	ADAM12	ADAM metallopeptidase domain 12
HGNC:43841	ADAM12-OT1~withdrawn	entry withdrawn
HGNC:193	ADAM15	ADAM metallopeptidase domain 15
HGNC:195	ADAM17	ADAM metallopeptidase domain 17
HGNC:196	ADAM18	ADAM metallopeptidase domain 18
HGNC:197	ADAM19	ADAM metallopeptidase domain 19
HGNC:199	ADAM20	ADAM metallopeptidase domain 20
HGNC:20102	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1
HGNC:43901	ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2
HGNC:43902	ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3
HGNC:200	ADAM21	ADAM metallopeptidase domain 21
HGNC:19822	ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1
HGNC:201	ADAM22	ADAM metallopeptidase domain 22
HGNC:202	ADAM23	ADAM metallopeptidase domain 23
HGNC:203	ADAM24P	ADAM metallopeptidase domain 24, pseudogene
HGNC:206	ADAM28	ADAM metallopeptidase domain 28
HGNC:207	ADAM29	ADAM metallopeptidase domain 29
HGNC:208	ADAM30	ADAM metallopeptidase domain 30
HGNC:15479	ADAM32	ADAM metallopeptidase domain 32
HGNC:15478	ADAM33	ADAM metallopeptidase domain 33
HGNC:16299	ADAMDEC1	ADAM like decysin 1
HGNC:217	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
HGNC:218	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2
HGNC:219	ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3
HGNC:220	ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4
HGNC:221	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
HGNC:222	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6
HGNC:223	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7
HGNC:49407	ADAMTS7P1	ADAMTS7 pseudogene 1
HGNC:49408	ADAMTS7P2~withdrawn	symbol withdrawn, see ADAMTS7P1
HGNC:49409	ADAMTS7P3	ADAMTS7 pseudogene 3
HGNC:49410	ADAMTS7P4	ADAMTS7 pseudogene 4
HGNC:224	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8
HGNC:13202	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9
HGNC:40625	ADAMTS9-AS1	ADAMTS9 antisense RNA 1
HGNC:42435	ADAMTS9-AS2	ADAMTS9 antisense RNA 2
